%Time	Channel A
%(us)	(mV)
%
0.00000086	1.51982200
0.00800086	1.51371800
0.01600086	1.47709600
0.02400086	1.45878500
0.03200086	1.42216300
0.04000086	1.39164400
0.04800086	1.39774800
0.05600086	1.37943700
0.06400086	1.32450300
0.07200086	1.28788100
0.08000086	1.26957000
0.08800086	1.23294800
0.09600086	1.23294800
0.10400086	1.23905100
0.11200086	1.25125900
0.12000086	1.28177700
0.12800086	1.31840000
0.13600086	1.36112600
0.14400086	1.39164400
0.15200086	1.42216300
0.16000086	1.51982200
0.16800086	1.54423700
0.17600086	1.56254800
0.18400086	1.59917000
0.19200086	1.64800000
0.20000086	2.17902200
0.20800086	3.46079900
0.21600086	5.51774600
0.22400086	9.05789400
0.23200085	13.34880000
0.24000085	19.03745000
0.24800085	26.59383000
0.25600085	34.40657000
0.26400085	40.11963000
0.27200085	43.45836000
0.28000085	43.03110000
0.28800085	38.45332000
0.29600085	30.14008000
0.30400085	17.54814000
0.31200085	0.94607380
0.32000085	-16.10767000
0.32800085	-32.39235000
0.33600085	-44.75844000
0.34400085	-53.95062000
0.35200085	-58.54671000
0.36000085	-57.86920000
0.36800085	-51.74108000
0.37600085	-40.68118000
0.38400085	-25.42802000
0.39200085	-7.19016000
0.40000085	14.40474000
0.40800085	38.08710000
0.41600085	61.29948000
0.42400085	83.02866000
0.43200085	102.94500000
0.44000085	119.24800000
0.44800085	130.16760000
0.45600085	133.38420000
0.46400085	126.68840000
0.47200085	110.65400000
0.48000085	87.58812000
0.48800085	58.02789000
0.49600085	24.69558000
0.50400085	-12.41493000
0.51200085	-48.72585000
0.52000085	-81.67363000
0.52800085	-108.88390000
0.53600085	-129.29470000
0.54400085	-141.78900000
0.55200085	-145.19490000
0.56000085	-139.26820000
0.56800085	-124.55210000
0.57600085	-102.32250000
0.58400085	-73.82427000
0.59200084	-40.66896000
0.60000084	-4.49842800
0.60800084	32.12989000
0.61600084	67.07968000
0.62400084	97.68975000
0.63200084	122.76990000
0.64000084	140.66590000
0.64800084	149.74210000
0.65600084	148.82660000
0.66400084	137.73610000
0.67200084	117.92960000
0.68000084	90.67049000
0.68800084	57.46025000
0.69600084	20.20325000
0.70400084	-18.52473000
0.71200084	-56.29444000
0.72000084	-91.21983000
0.72800084	-121.38430000
0.73600084	-144.30980000
0.74400084	-160.37480000
0.75200084	-168.42560000
0.76000084	-167.86400000
0.76800084	-158.71460000
0.77600084	-141.63030000
0.78400084	-117.36200000
0.79200084	-86.31855000
0.80000084	-50.62410000
0.80800084	-13.51360000
0.81600084	24.19507000
0.82400084	59.93835000
0.83200084	90.29206000
0.84000084	113.08330000
0.84800084	127.69550000
0.85600084	132.95690000
0.86400084	128.53180000
0.87200084	115.43930000
0.88000084	94.24116000
0.88800084	67.48253000
0.89600084	37.03116000
0.90400084	3.50352500
0.91200084	-29.99969000
0.92000084	-62.08075000
0.92800084	-91.31138000
0.93600084	-116.66620000
0.94400083	-137.56520000
0.95200083	-152.26290000
0.96000083	-161.33920000
0.96800083	-164.40930000
0.97600083	-159.68500000
0.98400083	-148.29550000
0.99200083	-130.62530000
1.00000083	-106.27770000
1.00800083	-75.80187000
1.01600083	-41.30985000
1.02400083	-4.35193900
1.03200083	31.39134000
1.04000083	64.29029000
1.04800083	92.35511000
1.05600083	112.38140000
1.06400083	122.36090000
1.07200083	121.24390000
1.08000083	109.10980000
1.08800083	87.13645000
1.09600083	57.22220000
1.10400083	22.04657000
1.11200083	-15.22874000
1.12000083	-53.19376000
1.12800083	-88.07642000
1.13600083	-116.94690000
1.14400083	-139.16440000
1.15200083	-152.90990000
1.16000083	-157.01160000
1.16800083	-151.12160000
1.17600083	-135.75240000
1.18400083	-112.21660000
1.19200083	-82.46711000
1.20000083	-46.72994000
1.20800083	-8.35596800
1.21600083	30.45747000
1.22400083	67.62291000
1.23200083	100.25940000
1.24000083	127.01800000
1.24800083	146.28740000
1.25600083	156.89570000
1.26400083	157.98820000
1.27200083	149.48580000
1.28000083	132.11460000
1.28800083	107.32750000
1.29600082	76.36952000
1.30400082	40.25391000
1.31200082	2.07525800
1.32000082	-36.19495000
1.32800082	-72.11523000
1.33600082	-103.54320000
1.34400082	-128.57450000
1.35200082	-145.95780000
1.36000082	-154.41140000
1.36800082	-153.22730000
1.37600082	-142.50920000
1.38400082	-123.17270000
1.39200082	-96.73146000
1.40000082	-64.04614000
1.40800082	-27.49107000
1.41600082	10.70589000
1.42400082	47.76147000
1.43200082	81.37455000
1.44000082	109.38440000
1.44800082	129.97830000
1.45600082	141.52040000
1.46400082	142.95480000
1.47200082	134.15940000
1.48000082	115.95200000
1.48800082	89.96246000
1.49600082	57.86309000
1.50400082	21.72918000
1.51200082	-16.10767000
1.52000082	-52.78481000
1.52800082	-85.89739000
1.53600082	-113.27860000
1.54400082	-133.25600000
1.55200082	-144.45630000
1.56000082	-145.90900000
1.56800082	-137.50420000
1.57600082	-119.99270000
1.58400082	-94.80880000
1.59200082	-63.46629000
1.60000082	-27.91223000
1.60800082	9.64995200
1.61600082	46.55904000
1.62400082	80.63600000
1.63200082	109.84220000
1.64000082	132.48700000
1.64800081	147.15410000
1.65600081	153.06860000
1.66400081	149.88860000
1.67200081	137.91920000
1.68000081	117.96010000
1.68800081	91.22592000
1.69600081	59.24253000
1.70400081	23.71288000
1.71200081	-13.14737000
1.72000081	-48.76858000
1.72800081	-81.13040000
1.73600081	-108.18810000
1.74400081	-128.12280000
1.75200081	-139.57330000
1.76000081	-141.50210000
1.76800081	-133.70160000
1.77600081	-116.79430000
1.78400081	-91.87292000
1.79200081	-60.71962000
1.80000081	-25.36088000
1.80800081	11.79846000
1.81600081	48.29859000
1.82400081	81.72856000
1.83200081	109.90940000
1.84000081	130.99150000
1.84800081	143.66280000
1.85600081	147.07480000
1.86400081	140.96500000
1.87200081	125.89500000
1.88000081	103.03050000
1.88800081	73.66558000
1.89600081	39.73510000
1.90400081	3.59508000
