%Time	Channel A
%(us)	(mV)
%
0.00000086	0.85146640
0.00800086	0.87588120
0.01600086	0.91860710
0.02400086	0.90029600
0.03200086	0.93386640
0.04000086	0.94912560
0.04800086	0.93997010
0.05600086	0.94302190
0.06400086	0.92165900
0.07200086	0.95217750
0.08000086	0.94302190
0.08800086	0.92165900
0.09600086	0.92471080
0.10400086	0.89114050
0.11200086	0.87282940
0.12000086	0.87588120
0.12800086	0.88503680
0.13600086	0.86062190
0.14400086	0.84841450
0.15200086	0.87893310
0.16000086	0.89114050
0.16800086	0.89724420
0.17600086	0.89419230
0.18400086	0.91250340
0.19200086	0.92165900
0.20000086	0.93997010
0.20800086	0.99185150
0.21600086	0.97659220
0.22400086	1.01321400
0.23200085	1.06509600
0.24000085	1.08035500
0.24800085	1.15970300
0.25600085	1.25125900
0.26400085	1.33976200
0.27200085	1.45878500
0.28000085	1.61442900
0.28800085	1.78228100
0.29600085	1.94097700
0.30400085	2.11188100
0.31200085	2.29499200
0.32000085	2.40180700
0.32800085	2.45368800
0.33600085	2.49336200
0.34400085	2.46589500
0.35200085	2.33771800
0.36000085	2.19733300
0.36800085	2.01422100
0.37600085	1.74260700
0.38400085	1.52287400
0.39200085	1.26041400
0.40000085	0.97659220
0.40800085	0.76906640
0.41600085	0.54628130
0.42400085	0.35706650
0.43200085	0.20752580
0.44000085	0.07629627
0.44800085	0.01525925
0.45600085	-0.03967406
0.46400085	-0.05798516
0.47200085	-0.02136296
0.48000085	0.00610370
0.48800085	0.09460738
0.49600085	0.20752580
0.50400085	0.30518510
0.51200085	0.39979250
0.52000085	0.50660720
0.52800085	0.61037020
0.53600085	0.66530350
0.54400085	0.72023680
0.55200085	0.72023680
0.56000085	0.66225170
0.56800085	0.60731830
0.57600085	0.49134800
0.58400085	0.39063690
0.59200084	0.25025180
0.60000084	0.09155553
0.60800084	-0.02441481
0.61600084	-0.17090370
0.62400084	-0.28077030
0.63200084	-0.34180730
0.64000084	-0.38148140
0.64800084	-0.38148140
0.65600084	-0.31739250
0.66400084	-0.23194070
0.67200084	-0.11902220
0.68000084	0.08239997
0.68800084	0.25940730
0.69600084	0.46082950
0.70400084	0.67445900
0.71200084	0.83010340
0.72000084	1.00405900
0.72800084	1.12002900
