%Time	Channel A	Channel B
%(us)	(mV)		(mV)
%
0.00799849	-0.85451820	-1.23600000
0.01599849	-0.83925900	-1.20548100
0.02399849	-0.82399970	-1.17496300
0.03199849	-0.80874040	-1.15970300
0.03999849	-0.79348120	-1.14444400
0.04799849	-0.79348120	-1.12918500
0.05599849	-0.77822200	-1.12918500
0.06399849	-0.68666640	-1.11392600
0.07199849	-0.42725910	-1.08340700
0.07999849	-0.15259250	-0.88503670
0.08799849	-0.06103702	-0.56459240
0.09599849	0.00000000	-0.45777760
0.10399849	0.10681480	-0.59511090
0.11199849	0.56459240	-0.65614790
0.11999849	1.23600000	-0.50355540
0.12799849	1.48014800	-0.06103702
0.13599849	1.41911100	0.38148130
0.14399849	1.32755500	0.24414810
0.15199848	1.11392600	-0.36622210
0.15999848	1.17496300	-0.67140720
0.16799848	1.58696200	-0.21362960
0.17599848	1.67851800	0.54933320
0.18399848	1.52592500	0.56459240
0.19199848	1.15970300	-0.33570360
0.19999848	0.50355540	-1.03762900
0.20799848	-0.16785180	-0.70192570
0.21599848	-0.86977740	-0.16785180
0.22399848	-1.54118500	-0.38148130
0.23199848	-2.36518400	-1.54118500
0.23999848	-3.28074000	-2.42622100
0.24799848	-4.11999800	-2.34992500
0.25599848	-4.65407200	-2.15155500
0.26399848	-5.03555400	-2.68562900
0.27199848	-5.31022000	-3.63170200
0.27999848	-5.56962800	-3.98266500
0.28799848	-5.73747900	-3.47911000
0.29599848	-5.67644300	-3.08236900
0.30399848	-5.37125700	-3.43333200
0.31199848	-4.69985000	-3.87585000
0.31999848	-3.72325800	-3.50962800
0.32799848	-2.56355500	-2.57881400
0.33599848	-1.34281400	-2.05999900
0.34399848	-0.10681480	-2.33466600
0.35199848	1.19022200	-2.57881400
0.35999848	2.47199900	-1.99896200
0.36799848	3.60118400	-1.05288900
0.37599848	4.48622100	-0.68666640
0.38399848	5.05081300	-0.96133300
0.39199848	5.20340500	-1.11392600
0.39999848	5.14236800	-0.74770340
0.40799848	4.80666500	-0.35096280
0.41599848	4.34888700	-0.45777760
0.42399848	3.67748000	-0.93081450
0.43199848	2.76192500	-1.23600000
0.43999848	1.58696200	-1.31229600
0.44799848	0.28992580	-1.49540700
0.45599848	-1.00711100	-1.98370300
0.46399848	-2.28888800	-2.53303600
0.47199848	-3.57066500	-2.86874000
0.47999848	-4.71510900	-3.17392500
0.48799848	-5.46281300	-3.67748000
0.49599848	-5.95110900	-4.11999800
0.50399847	-6.07318300	-4.22681300
0.51199847	-6.21051600	-4.08948000
0.51999847	-6.37836800	-3.89111000
0.52799847	-5.90533100	-3.89111000
0.53599847	-4.89822100	-3.92162800
0.54399847	-3.75377700	-3.34177700
0.55199847	-2.38044400	-2.04474000
0.55999847	-1.19022200	-0.79348120
0.56799847	-0.39674060	-0.25940730
0.57599847	0.54933320	-0.19837030
0.58399847	1.46488800	0.33570360
0.59199847	2.25836900	1.64799900
0.59999847	3.06711000	2.71614700
0.60799847	3.58592500	2.63985100
0.61599847	3.81481300	1.95318400
0.62399847	3.67748000	1.63274000
0.63199847	3.31125800	2.05999900
0.63999847	2.77718400	2.24311000
0.64799847	1.98370300	1.38859200
0.65599847	0.83925900	0.19837030
0.66399847	-0.41199990	-0.33570360
0.67199847	-1.63274000	-0.27466660
0.67999847	-2.65511000	-0.50355540
0.68799847	-3.44859100	-1.49540700
0.69599847	-4.08948000	-2.41096200
0.70399847	-4.50148000	-2.42622100
0.71199847	-4.85244300	-1.99896200
0.71999847	-4.95925800	-2.07525800
0.72799847	-4.85244300	-2.65511000
0.73599847	-4.50148000	-2.85348100
0.74399847	-3.87585000	-2.15155500
0.75199847	-3.14340600	-1.25125900
0.75999847	-2.33466600	-1.02237000
0.76799847	-1.43437000	-1.23600000
0.77599847	-0.51881460	-0.99185150
0.78399847	0.36622210	-0.09155552
0.79199847	1.28177700	0.71718490
0.79999847	1.93792500	0.90029600
0.80799847	2.41096200	0.76296270
0.81599847	2.57881400	0.94607370
0.82399847	2.47199900	1.37333300
0.83199847	2.22785100	1.48014800
0.83999847	1.84637000	1.09866600
0.84799847	1.37333300	0.54933320
0.85599846	0.80874040	0.16785180
0.86399846	0.16785180	-0.13733330
0.87199846	-0.51881460	-0.65614790
0.87999846	-1.09866600	-1.40385100
0.88799846	-1.58696200	-2.04474000
0.89599846	-1.89214700	-2.36518400
0.90399846	-2.12103600	-2.44148100
0.91199846	-2.25836900	-2.51777700
0.91999846	-2.12103600	-2.57881400
0.92799846	-1.81585100	-2.50251800
0.93599846	-1.34281400	-2.10577700
0.94399846	-0.74770340	-1.51066600
0.95199846	-0.07629627	-0.93081450
0.95999846	0.53407390	-0.51881460
0.96799846	1.11392600	-0.19837030
0.97599846	1.61748100	0.15259250
0.98399846	2.04474000	0.61037020
0.99199846	2.36518400	0.99185150
0.99999846	2.50251800	1.11392600
1.00799846	2.42622100	1.00711100
1.01599846	2.18207300	0.93081450
1.02399846	1.81585100	0.94607370
1.03199846	1.38859200	0.91555520
1.03999846	0.90029600	0.67140720
1.04799846	0.33570360	0.27466660
1.05599846	-0.24414810	-0.03051851
1.06399846	-0.85451820	-0.22888880
1.07199846	-1.49540700	-0.51881460
1.07999846	-2.12103600	-1.03762900
1.08799846	-2.65511000	-1.66325900
1.09599846	-2.88399900	-2.15155500
1.10399846	-3.06711000	-2.27362900
1.11199846	-3.14340600	-2.28888800
1.11999846	-3.35703600	-2.42622100
1.12799846	-3.69273900	-2.56355500
1.13599846	-3.46385000	-2.60933200
1.14399846	-3.20444300	-2.41096200
1.15199846	-2.79244400	-1.81585100
1.15999846	-2.30414700	-1.08340700
1.16799846	-2.24311000	-0.57985160
1.17599846	-2.30414700	-0.38148130
1.18399846	-2.24311000	-0.39674060
1.19199846	-2.21259200	-0.13733330
